checking_balance,credit_history,existing_savings,existing_credits_count,sex,age,job_type,dependents,telephone,foreign_worker,employment_duration,property,housing,current_residence_duration,payment_term,installment_plans,installment_percent,loan_purpose,loan_amount,others_on_loan,allow
-566.53,ALL_CREDITS_PAID_BACK,36.42,1,0,24,3,1,1,1,0,SAVINGS_INSURANCE,OWN,2,310.0,NONE,2,CAR_NEW,3503.0,NONE,1
-1673.16,CREDITS_PAID_TO_DATE,22.9,1,0,30,3,1,0,1,5,CAR_OTHER,RENT,1,630.0,STORES,3,CAR_NEW,3729.0,NONE,1
0.0,CREDITS_PAID_TO_DATE,450.35,2,1,40,3,1,0,1,4,UNKNOWN,OWN,4,868.0,NONE,3,CAR_USED,8516.0,NONE,0
-1471.03,PRIOR_PAYMENTS_DELAYED,805.71,2,1,28,1,1,0,1,0,CAR_OTHER,OWN,3,403.0,BANK,3,FURNITURE,2577.0,NONE,1
0.0,CREDITS_PAID_TO_DATE,295.03,1,1,19,2,1,0,1,3,REAL_ESTATE,OWN,3,810.0,NONE,4,BUSINESS,3750.0,NONE,1
0.0,PRIOR_PAYMENTS_DELAYED,639.41,2,0,36,2,2,1,1,2,CAR_OTHER,FREE,4,1350.0,NONE,5,APPLIANCES,10540.0,CO-APPLICANT,0
0.0,PRIOR_PAYMENTS_DELAYED,421.96,1,0,43,2,1,0,1,13,CAR_OTHER,OWN,4,806.0,NONE,3,RADIO_TV,5299.0,NONE,0
-121.7,CREDITS_PAID_TO_DATE,22.44,1,1,26,3,1,0,1,0,SAVINGS_INSURANCE,RENT,3,480.0,NONE,2,FURNITURE,250.0,NONE,1
-124.51,ALL_CREDITS_PAID_BACK,35.07,1,0,20,3,1,0,1,0,SAVINGS_INSURANCE,OWN,1,360.0,STORES,1,CAR_USED,250.0,NONE,1
-1911.77,CREDITS_PAID_TO_DATE,56.22,1,1,33,3,1,0,1,5,SAVINGS_INSURANCE,OWN,1,300.0,STORES,2,CAR_USED,652.0,NONE,1
0.0,PRIOR_PAYMENTS_DELAYED,383.57,1,1,43,2,1,0,1,2,SAVINGS_INSURANCE,OWN,3,806.0,NONE,4,CAR_USED,4274.0,NONE,0
-2303.55,CREDITS_PAID_TO_DATE,5.59,1,0,19,3,1,0,1,2,REAL_ESTATE,RENT,2,124.0,NONE,2,CAR_NEW,365.0,NONE,1
0.0,OUTSTANDING_CREDIT,572.37,2,1,30,1,1,1,1,3,CAR_OTHER,OWN,5,660.0,STORES,4,EDUCATION,5876.0,NONE,1
63.66,ALL_CREDITS_PAID_BACK,88.92,1,1,19,3,1,0,1,0,SAVINGS_INSURANCE,OWN,1,217.0,NONE,2,VACATION,250.0,NONE,1
0.0,PRIOR_PAYMENTS_DELAYED,315.54,2,1,49,1,2,1,1,7,SAVINGS_INSURANCE,RENT,2,868.0,BANK,3,FURNITURE,4524.0,NONE,1
0.0,PRIOR_PAYMENTS_DELAYED,977.71,1,0,27,3,1,1,1,0,SAVINGS_INSURANCE,OWN,3,930.0,NONE,3,APPLIANCES,3453.0,CO-APPLICANT,0
155.93,NO_CREDITS,63.52,1,0,32,3,1,0,1,0,REAL_ESTATE,OWN,3,310.0,NONE,1,CAR_NEW,250.0,NONE,1
51.66,ALL_CREDITS_PAID_BACK,62.1,1,0,19,3,1,0,1,0,SAVINGS_INSURANCE,RENT,1,120.0,NONE,1,CAR_USED,416.0,NONE,1
147.84,ALL_CREDITS_PAID_BACK,676.64,1,0,25,3,2,0,1,0,REAL_ESTATE,RENT,1,558.0,NONE,3,VACATION,1800.0,NONE,1
-319.01,CREDITS_PAID_TO_DATE,3.11,1,1,45,3,1,0,1,6,CAR_OTHER,RENT,2,589.0,STORES,3,REPAIRS,705.0,NONE,1
